Name,Location,star_rating,Total_ratings,Rp_Price,guest_rating_normalized
"The Cube Hotel Malioboro, Azana Hotels Collection","Mantrijeron, Yogyakarta",3,6.0,474404,3.5
Sans Hotel Nagari Malioboro,"Ngampilan, Yogyakarta",3,50.0,371800,3.6
CASAKITA exclusive guest house,Yogyakarta,3,6.0,341910,4.2
Sampai Villa Ruang Tepi,Yogyakarta,3,43.0,1350000,4.0
Novotel Suites Yogyakarta Malioboro,"Danurejan, Yogyakarta (Malioboro)",4,433.0,1614140,4.3
INNSiDE by Meliá Yogyakarta,Yogyakarta,4,338.0,845184,4.15
Gallery Prawirotaman Hotel,"Mergangsan, Yogyakarta (Prawirotaman)",4,1.0,819000,4.3
Grand Keisha Yogyakarta,Yogyakarta,4,120.0,633360,4.35
The Manohara Hotel Yogyakarta,"Catur Tunggal, Yogyakarta",4,301.0,833628,4.45
Merapi Merbabu Hotel Yogyakarta Powered by Archipelago,"Catur Tunggal, Yogyakarta",4,40.0,675439,4.1
Hotel Santika Premiere Jogja,"Jetis, Yogyakarta",4,132.0,850850,4.15
Platinum Adisucipto Hotel & Conference Center,Yogyakarta,4,438.0,582015,4.2
d'Salvatore Boutique Hotel Yogyakarta,Yogyakarta,4,24.0,550000,3.1
Omah Siliran Heritage,"Kraton, Yogyakarta",4,133.0,441984,4.35
Riss Hotel Malioboro,"Jetis, Yogyakarta",4,148.0,901725,4.15
KESATRIYAN JOGJA GUEST HOUSE,"Kraton, Yogyakarta",4,351.0,553000,4.2
Royal Malioboro by ASTON,"Gedongtengen, Yogyakarta (Malioboro)",4,902.0,1632310,4.45
The Atrium Hotel & Resort Yogyakarta,"Mlati, Yogyakarta",4,34.0,480000,4.25
Grand Tjokro Yogyakarta,"Catur Tunggal, Yogyakarta",4,66.0,679001,3.85
FX Stay & Coffee,"Kraton, Yogyakarta",4,82.0,640000,4.15
Greenhost Boutique Hotel Prawirotaman,"Mergangsan, Yogyakarta (Prawirotaman)",4,776.0,946400,4.4
Hotel New Saphir Yogyakarta,"Gondokusuman, Yogyakarta",4,33.0,528328,3.55
The Westlake Hotel & Resort Yogyakarta,Yogyakarta,4,10.0,952066,4.25
@K Hotel,Yogyakarta,4,36.0,629497,3.15
Novotel Yogyakarta International Airport Kulon Progo,Yogyakarta,4,183.0,617856,4.4
The Alana Hotel & Conference Center Malioboro Yogyakarta by ASTON,"Mantrijeron, Yogyakarta",4,569.0,781495,4.45
1O1 STYLE Yogyakarta Malioboro,"Pakualaman, Yogyakarta",4,380.0,848941,4.5
Abadi Hotel Malioboro Yogyakarta,"Gedongtengen, Yogyakarta (Malioboro)",4,30.0,969497,4.0
Swiss-Belhotel Airport Yogyakarta,Yogyakarta,4,153.0,613800,4.4
Hotel Sumaryo,"Mergangsan, Yogyakarta (Prawirotaman)",4,13.0,264865,3.85
Villa Sukun,"Pakualaman, Yogyakarta",4,43.0,3600000,4.0
Luxury Malioboro Hotel,"Jetis, Yogyakarta",4,112.0,581601,4.0
the AMARTYA,Yogyakarta,4,52.0,677557,4.15
Satoria Hotel Yogyakarta - CHSE Certified,Yogyakarta,4,142.0,561236,4.05
Duta Guest House,"Mergangsan, Yogyakarta (Prawirotaman)",4,287.0,434164,4.2
Kimaya Sudirman Yogyakarta by Harris,"Gondokusuman, Yogyakarta",4,305.0,772200,4.2
The Alana Yogyakarta Hotel and Convention Center,Yogyakarta,4,227.0,840796,4.25
eL Hotel Yogyakarta Malioboro,"Gedongtengen, Yogyakarta (Malioboro)",4,194.0,1130130,4.0
Abhayagiri - Sumberwatu Heritage Resort,Yogyakarta,4,196.0,899000,4.4
Raintree Boutique Villa & Gallery,"Gondokusuman, Yogyakarta",4,230.0,800230,4.55
GRAMM HOTEL by Ambarrukmo - Formerly Grand Ambarrukmo Yogyakarta,"Catur Tunggal, Yogyakarta",4,153.0,1622438,4.35
Hotel FortunaGrande Malioboro Yogyakarta,"Gedongtengen, Yogyakarta (Malioboro)",4,738.0,1400000,4.0
The Homey Rooms and Tours,Yogyakarta,4,25.0,360000,4.25
Sahid Raya Hotel & Convention Yogyakarta,"Catur Tunggal, Yogyakarta",4,80.0,432861,3.75
Rabbani Family Homestay,Yogyakarta,4,53.0,699000,4.55
Ada Waktu Homestay,Yogyakarta,4,119.0,775000,4.55
Sofia Boutique Residence,Yogyakarta,4,55.0,975851,4.15
Villa Pondok Terra,"Mantrijeron, Yogyakarta",4,32.0,2025000,3.85
Hotel O Sleman Near Bandara Adi Sutjipto Formerly Joglo Sorogenen,Yogyakarta,4,4.0,164188,2.1
Tara Hotel Yogyakarta,"Sinduadi, Yogyakarta",4,43.0,510896,3.6
GAIA Cosmo Hotel,"Umbulharjo, Yogyakarta",4,452.0,910849,4.4
Gauri Vasanta Villa,Yogyakarta,4,1.0,1151802,5.0
The Jayakarta Yogyakarta Hotel & Spa,Yogyakarta,4,175.0,533541,4.0
The Rich Jogja Hotel,"Sinduadi, Yogyakarta",4,71.0,570360,3.85
Swiss-Belboutique Yogyakarta,"Gondokusuman, Yogyakarta",4,238.0,1130000,4.45
Grand Diamond Hotel Yogyakarta,Yogyakarta,4,15.0,538592,3.75
D'omah Yogya Hotel,Yogyakarta,4,100.0,1157662,4.45
The Malioboro Hotel & Conference Center,"Gedongtengen, Yogyakarta",4,67.0,1280988,4.35
Yoga Lover,"Mantrijeron, Yogyakarta",4,59.0,697500,3.95
Little Tokyo,Yogyakarta,4,17.0,850000,4.25
Loman Park Hotel Yogyakarta,"Catur Tunggal, Yogyakarta",4,252.0,989100,4.05
Ramada by Wyndham Yogyakarta,Yogyakarta,4,20.0,617500,3.9
Hotel O Pogung Near Near Ugm Formerly Maleo Residence,"Catur Tunggal, Yogyakarta",4,21.0,188817,3.0
Astuti Gallery Homestay,Yogyakarta,4,179.0,795000,4.5
Harper Malioboro Yogyakarta by ASTON,"Jetis, Yogyakarta",4,572.0,3316590,4.4
Ros-In Hotel,Yogyakarta,4,15.0,328922,3.55
Surokarsan 9 House Yogyakarta,"Pakualaman, Yogyakarta",4,75.0,418905,4.45
Rengganis Homestay,"Mlati, Yogyakarta",4,18.0,1080000,4.1
Aston Gejayan Yogyakarta Hotel & Conference Center,Yogyakarta,4,3.0,1283201,4.5
SUNKISS VILLA by Yogya Tropicana,Yogyakarta,4,7.0,1880000,4.2
Royal Darmo Malioboro,"Gedongtengen, Yogyakarta",4,29.0,880000,4.0
Grand Serela Yogyakarta,"Tegalrejo, Yogyakarta",4,65.0,520997,3.65
Grand Rohan Jogja,Yogyakarta,4,173.0,552602,4.25
Hotel O Prawirotaman Near Keraton Yogyakarta Formerly Paris Guesthouse,Yogyakarta,4,1.0,243555,3.5
Jogja ethnic house,"Mantrijeron, Yogyakarta",4,9.0,661765,3.5
Ubu Villa Coconut 103 - in Yogyakarta,Yogyakarta,4,1.0,1305000,5.0
nDalem Natan Royal Heritage,"Kotagede, Yogyakarta",4,34.0,888000,4.05
Next Hotel Yogyakarta,"Catur Tunggal, Yogyakarta",4,11.0,447686,3.8
Cavinton Hotel Malioboro Yogyakarta,"Ngampilan, Yogyakarta",4,5.0,536799,4.0
Ubu Villa Amara in North Yogyakarta,Yogyakarta,4,1.0,1350000,4.0
Villa Kayu Yogyakarta,Yogyakarta,4,37.0,900000,4.55
Grand Mercure Yogyakarta Adi Sucipto,"Catur Tunggal, Yogyakarta",5,148.0,807500,3.75
Mustika Yogyakarta Resort and Spa,Yogyakarta,5,332.0,1055925,4.05
The Phoenix Hotel Yogyakarta - Handwritten Collection,"Jetis, Yogyakarta",5,1.0,1710000,4.35
Melia Purosani Yogyakarta,"Gondomanan, Yogyakarta (Malioboro)",5,1.0,1776500,4.3
Yogyakarta Marriott Hotel,Yogyakarta,5,512.0,2335300,4.7
Jambuluwuk Malioboro Hotel Yogyakarta,"Pakualaman, Yogyakarta",5,999.0,2099051,4.1
Amaranta Prambanan Yogyakarta,Yogyakarta,5,34.0,1547351,4.65
Royal Ambarrukmo Yogyakarta,"Catur Tunggal, Yogyakarta",5,205.0,2537375,4.45
Garrya Bianti Yogyakarta,Yogyakarta,5,14.0,6669520,4.7
Hotel Tentrem Yogyakarta,Jetis,5,43.0,1146724,4.0
Wyndham Garden Yogyakarta Hotel Conference & Action Park,Sleman,5,11.0,1140000,4.2
